# query_id num_block_accesses num_unique_blocks latency_us
103 1731 562 278620
104 1689 458 239694
105 1936 547 307218
106 1906 493 293172
107 1824 525 279240
108 1528 480 221657
109 1584 564 275021
110 1500 493 253823
111 1452 497 241153
112 1808 579 295358
113 2352 630 356994
114 1640 515 252987
115 1970 588 305052
116 1548 418 211927
117 1818 559 305043
118 1617 537 263399
119 1631 539 250206
120 1514 522 247636
121 1488 507 232019
122 1517 485 223143
123 1738 535 253328
124 1988 548 306155
125 2301 657 377803
126 1600 534 247754
127 1740 441 233743
128 1470 491 248085
129 1650 528 249463
130 1601 481 226591
131 1531 535 255252
132 1639 496 245016
133 1997 464 270832
134 1555 475 246648
135 1640 468 229799
136 1545 590 273753
137 1943 603 326490
138 1839 455 267613
139 1602 536 276962
140 1540 469 221633
141 1845 514 268551
142 1864 538 289489
143 1480 506 230052
144 1496 442 214695
145 1558 502 229565
146 1853 559 286518
147 2031 540 281843
148 1550 522 250865
149 2368 602 348026
150 1694 487 253325
151 2209 636 361440
152 2542 653 386698
153 1613 550 274909
154 2382 644 379393
155 1782 575 300771
156 1786 557 290406
157 2469 615 359260
158 1551 539 250420
159 1686 598 286494
160 1537 589 268121
161 1770 562 285558
162 1989 570 300881
163 1530 607 285457
164 1506 486 245414
165 1509 483 238987
166 1819 541 279539
167 2135 546 321470
168 1595 532 250986
169 1842 552 280640
170 1851 559 301465
171 1741 499 248549
172 1900 586 307725
173 1586 467 251750
174 1880 636 308713
175 1882 541 319680
176 1696 503 283707
177 1951 547 301546
178 1698 557 272291
179 1711 512 263309
180 2264 576 352592
181 2197 584 346056
182 1548 485 233011
183 1751 514 259892
184 2015 560 319135
185 2069 572 307255
186 2044 579 330820
187 2168 583 337330
188 2053 515 290652
189 1799 499 271978
190 1552 514 264016
191 1691 546 294967
192 1802 534 295221
193 1704 537 291912
194 1935 533 300761
195 1797 570 302617
196 1923 530 270218
197 1541 506 236144
198 1506 479 231429
199 2041 578 326904
200 1517 457 219903
201 1872 604 320194
202 1618 506 256459
203 1444 451 199328
204 1866 594 318814
205 2139 562 330878
206 2015 557 318062
207 1509 554 262788
208 1589 460 238352
209 1675 482 256816
210 1896 559 308916
211 1976 657 333832
212 1526 433 211630
213 1779 580 304403
214 1610 463 232176
215 1816 569 307185
216 1628 478 238773
217 1683 523 259008
218 1778 509 274689
219 1646 516 273638
220 1679 495 255272
221 1606 506 255405
222 1875 547 293227
223 1542 476 232135
224 1736 589 302768
225 1702 536 277750
226 1860 549 308524
227 1745 476 258632
228 1610 577 276575
229 1776 509 288438
230 1889 627 322061
231 1679 457 243266
232 1574 572 281589
233 1722 514 266740
234 1765 530 275913
235 1658 460 219266
236 1750 502 256158
237 1868 514 284135
238 1673 457 225716
239 1929 487 272003
240 1769 530 274147
241 1486 512 264220
242 1697 430 228082
243 1572 534 259760
244 1497 534 251146
245 1761 533 287737
246 1647 484 248304
247 1583 504 262806
248 1571 426 220364
249 1601 529 269204
250 1898 593 317051
251 1699 517 248952
252 2046 656 362164
253 1745 443 235857
254 1818 514 279418
255 1492 492 251943
256 1772 499 260214
